127.0.0.1, 2016-08-06 14:36:28, GET, /admin/default/ticket/init/127.0.0.1.2016-08-06.14-36-25.96e7e814-0e93-4930-a0e2-3b2d4a595157, HTTP/1.1, 200, 0.146000
127.0.0.1, 2016-08-06 14:36:28, GET, /admin/static/_2.14.6/images/help.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-08-06 14:37:28, GET, /init/default/index, HTTP/1.1, 500, 0.151000
127.0.0.1, 2016-08-06 14:37:30, GET, /admin/default/ticket/init/127.0.0.1.2016-08-06.14-37-28.403245e1-dc09-4e4d-ab85-f1eda95d98df, HTTP/1.1, 200, 0.116000
127.0.0.1, 2016-08-06 14:38:27, GET, /init/default/index, HTTP/1.1, 200, 0.104000
127.0.0.1, 2016-08-06 14:41:33, GET, /init/default/index, HTTP/1.1, 200, 0.134000
127.0.0.1, 2016-08-06 14:43:51, GET, /init/default/index, HTTP/1.1, 200, 0.218000
127.0.0.1, 2016-08-06 14:46:21, GET, /init/default/index, HTTP/1.1, 200, 0.145000
127.0.0.1, 2016-08-06 14:46:31, POST, /init/default/index, HTTP/1.1, 303, 0.157000
127.0.0.1, 2016-08-06 14:46:31, GET, /init/default/index, HTTP/1.1, 200, 0.115000
127.0.0.1, 2016-08-06 14:49:05, GET, /init/default/index, HTTP/1.1, 500, 0.262000
127.0.0.1, 2016-08-06 14:49:11, GET, /admin/default/ticket/init/127.0.0.1.2016-08-06.14-49-05.9431a674-cd0f-481f-a01e-9ceee2c6f94b, HTTP/1.1, 200, 0.182000
127.0.0.1, 2016-08-06 14:52:28, GET, /init/default/index, HTTP/1.1, 200, 0.118000
127.0.0.1, 2016-08-06 14:54:48, GET, /init/default/index, HTTP/1.1, 200, 0.135000
127.0.0.1, 2016-08-06 14:56:13, GET, /init/default/index, HTTP/1.1, 200, 0.195000
127.0.0.1, 2016-08-06 14:56:28, POST, /init/default/index, HTTP/1.1, 303, 0.161000
127.0.0.1, 2016-08-06 14:56:28, GET, /init/default/index, HTTP/1.1, 200, 0.137000
127.0.0.1, 2016-08-06 14:57:44, GET, /init/default/index, HTTP/1.1, 200, 0.110000
127.0.0.1, 2016-08-06 14:58:18, GET, /init/default/index, HTTP/1.1, 200, 0.128000
127.0.0.1, 2016-08-06 15:00:18, GET, /init/default/index, HTTP/1.1, 500, 0.144000
127.0.0.1, 2016-08-06 15:00:21, GET, /admin/default/ticket/init/127.0.0.1.2016-08-06.15-00-18.8ce01096-0f20-4f05-83c4-015a6fbc5347, HTTP/1.1, 200, 0.143000
127.0.0.1, 2016-08-06 15:00:53, GET, /init/default/index, HTTP/1.1, 200, 0.131000
127.0.0.1, 2016-08-06 15:01:26, POST, /init/default/index, HTTP/1.1, 303, 0.124000
127.0.0.1, 2016-08-06 15:01:26, GET, /init/default/index, HTTP/1.1, 200, 0.103000
127.0.0.1, 2016-08-06 15:05:12, GET, /init/default/index, HTTP/1.1, 200, 0.229000
127.0.0.1, 2016-08-06 15:05:59, GET, /init/default/index, HTTP/1.1, 200, 0.197000
127.0.0.1, 2016-08-06 15:06:27, GET, /init/default/index, HTTP/1.1, 200, 0.235000
127.0.0.1, 2016-08-06 15:06:47, GET, /init/default/index, HTTP/1.1, 200, 0.288000
127.0.0.1, 2016-08-06 15:10:18, GET, /init/default/index, HTTP/1.1, 200, 0.099000
127.0.0.1, 2016-08-06 15:10:56, GET, /init/default/index, HTTP/1.1, 200, 0.105000
127.0.0.1, 2016-08-06 15:11:42, GET, /init/default/index, HTTP/1.1, 200, 0.228000
127.0.0.1, 2016-08-06 15:13:46, GET, /init/default/index, HTTP/1.1, 200, 0.164000
127.0.0.1, 2016-08-06 15:14:30, GET, /init/default/index, HTTP/1.1, 200, 0.406000
127.0.0.1, 2016-08-06 16:17:36, GET, /init/policy/test, HTTP/1.1, 404, 0.707000
127.0.0.1, 2016-08-06 16:17:42, GET, /init/policy/testing.xml, HTTP/1.1, 500, 0.196000
127.0.0.1, 2016-08-06 16:17:45, GET, /admin/default/ticket/init/127.0.0.1.2016-08-06.16-17-42.e31c028d-a47f-4c41-ba34-be03f7b679c2, HTTP/1.1, 303, 0.019000
127.0.0.1, 2016-08-06 16:17:45, GET, /admin/default/index, HTTP/1.1, 200, 0.108000
127.0.0.1, 2016-08-06 16:17:47, GET, /admin/default/undefined, HTTP/1.1, 303, 0.017000
127.0.0.1, 2016-08-06 16:17:47, GET, /admin/default/index, HTTP/1.1, 200, 0.059000
127.0.0.1, 2016-08-06 16:17:50, POST, /admin/default/index, HTTP/1.1, 200, 1.068000
127.0.0.1, 2016-08-06 16:17:51, GET, /admin/default/undefined, HTTP/1.1, 303, 0.017000
127.0.0.1, 2016-08-06 16:17:52, GET, /admin/default/index, HTTP/1.1, 200, 0.053000
127.0.0.1, 2016-08-06 16:17:54, POST, /admin/default/index, HTTP/1.1, 303, 0.054000
127.0.0.1, 2016-08-06 16:17:54, GET, /admin/default/ticket/init/127.0.0.1.2016-08-06.16-17-42.e31c028d-a47f-4c41-ba34-be03f7b679c2, HTTP/1.1, 200, 0.110000
127.0.0.1, 2016-08-06 16:18:39, GET, /init/policy/testing.xml, HTTP/1.1, 200, 0.115000
127.0.0.1, 2016-08-06 16:19:49, GET, /init/policy/testing.xml, HTTP/1.1, 200, 0.097000
127.0.0.1, 2016-08-06 16:19:49, GET, /init/policy/testing.xml, HTTP/1.1, 200, 0.114000
127.0.0.1, 2016-08-06 16:20:18, GET, /init/policy/testing.xml, HTTP/1.1, 200, 0.100000
127.0.0.1, 2016-08-06 16:23:35, GET, /init/policy/testing.xml, HTTP/1.1, 200, 0.158000
127.0.0.1, 2016-08-06 16:23:48, GET, /init/policy/testing.xml, HTTP/1.1, 200, 0.191000
127.0.0.1, 2016-08-06 17:24:10, GET, /admin/default/undefined, HTTP/1.1, 303, 0.092000
127.0.0.1, 2016-08-06 17:24:10, GET, /admin/default/undefined, HTTP/1.1, 303, 0.015000
127.0.0.1, 2016-08-06 17:24:10, GET, /admin/default/index, HTTP/1.1, 200, 0.150000
127.0.0.1, 2016-08-06 17:24:11, GET, /admin/default/index, HTTP/1.1, 200, 0.113000
127.0.0.1, 2016-08-07 04:18:46, GET, /init/policy/testing.xml, HTTP/1.1, 200, 1.007000
127.0.0.1, 2016-08-07 12:28:37, GET, /init/policy/testing.xml, HTTP/1.1, 200, 0.239000
127.0.0.1, 2016-08-07 12:57:45, GET, /init/policy/testing.xml, HTTP/1.1, 200, 0.273000
127.0.0.1, 2016-08-07 12:58:22, GET, /init/policy/testing.xml, HTTP/1.1, 200, 0.149000
127.0.0.1, 2016-08-07 12:58:53, GET, /init/policy/testing.xml, HTTP/1.1, 200, 0.161000
127.0.0.1, 2016-08-07 13:03:53, GET, /init/policy/testing.xml, HTTP/1.1, 200, 0.178000
127.0.0.1, 2016-08-07 13:04:29, GET, /init/policy/testing.xml, HTTP/1.1, 200, 0.199000
127.0.0.1, 2016-08-07 13:35:09, GET, /init/policy/testing.doc, HTTP/1.1, 200, 0.471000
127.0.0.1, 2016-08-07 15:07:25, GET, /init/policy/testing.doc, HTTP/1.1, 200, 0.218000
127.0.0.1, 2016-08-07 15:13:36, GET, /init/policy/testing.xml, HTTP/1.1, 200, 0.220000
127.0.0.1, 2016-08-07 15:13:55, GET, /init/policy/testing.doc, HTTP/1.1, 200, 0.167000
127.0.0.1, 2016-08-07 15:55:38, GET, /init/policy/ADHD_screening_letter.doc, HTTP/1.1, 500, 0.417000
127.0.0.1, 2016-08-07 15:55:43, GET, /admin/default/ticket/init/127.0.0.1.2016-08-07.15-55-37.31e93941-4ea9-4a24-b212-ecf4e5704680, HTTP/1.1, 303, 0.024000
127.0.0.1, 2016-08-07 15:55:43, GET, /admin/default/index, HTTP/1.1, 200, 0.168000
127.0.0.1, 2016-08-07 15:55:44, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2016-08-07 15:55:44, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-08-07 15:55:44, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-08-07 15:55:44, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-08-07 15:55:44, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2016-08-07 15:55:44, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-08-07 15:55:44, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-08-07 15:55:44, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-08-07 15:55:44, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-08-07 15:55:44, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-08-07 15:55:44, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-08-07 15:55:44, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-08-07 15:55:44, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.035000
127.0.0.1, 2016-08-07 15:55:44, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-08-07 15:55:46, GET, /admin/default/undefined, HTTP/1.1, 303, 0.013000
127.0.0.1, 2016-08-07 15:55:47, GET, /admin/default/index, HTTP/1.1, 200, 0.092000
127.0.0.1, 2016-08-07 15:55:49, POST, /admin/default/index, HTTP/1.1, 200, 1.103000
